floor_family_id,component,floor_category,floor_type,span_behavior,manufacturer,material_family,construction_method,support_condition,unit,material_concrete_id,material_screed_id,material_pt_id,material_rebar_id,material_steel_id,material_timber_id,vibration_limit,fire_rating,acoustic_note,requires_rebar,requires_pt,requires_screed,requires_topping,requires_fireproofing,beam_requirements,can_span_to_columns,can_span_to_walls,source,notes
bison_bb_ij1,floor,precast,beam_block,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,IJ1
bison_bb_ij2,floor,precast,beam_block,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,IJ2
bison_bb_ij3,floor,precast,beam_block,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,IJ3
bison_bb_rdj4,floor,precast,beam_block,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,RDJ4
bison_bb_rdj5,floor,precast,beam_block,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,RDJ5
bison_bb_rdj6,floor,precast,beam_block,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,RDJ6
bison_bb_tj1,floor,precast,beam_block,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,TJ1
bison_bb_tj2,floor,precast,beam_block,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,TJ2
bison_bb_tj3,floor,precast,beam_block,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,TJ3
cemex_bb_155_a,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_155_A
cemex_bb_155_b,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_155_B
cemex_bb_155_c,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_155_C
cemex_bb_155_d,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_155_D
cemex_bb_155_e,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_155_E
cemex_bb_155_1450_a,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_155_1450_A
cemex_bb_155_1450_b,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_155_1450_B
cemex_bb_155_1450_c,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_155_1450_C
cemex_bb_155_1450_d,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_155_1450_D
cemex_bb_155_1450_e,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_155_1450_E
cemex_bb_225_1900_a,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_225_1900_A
cemex_bb_225_1900_b,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_225_1900_B
cemex_bb_225_1900_c,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_225_1900_C
cemex_bb_225_1900_d,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_225_1900_D
cemex_bb_225_1900_e,floor,precast,beam_block,one-way,cemex,precast,,,metric,concrete,screed,pt,fiber,,,,,,,,,,,secondary,,,,CEMEX_225_1900_E
milbank_bb_155_md,floor,precast,beam_block,one-way,milbank,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,MILBANK_155MD_W
lynx_bb_cs120,floor,precast,beam_block,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,LYNX_CS120_S516
lynx_bb_cs160,floor,precast,beam_block,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,LYNX_CS160_S556
lynx_bb_cs225,floor,precast,beam_block,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,LYNX_CS225_S528
S350_normal_weight,floor,composite,composite_deck,one-way,SMD,composite,,,metric,concrete,screed,,rebar,eu_steel_0.9,,,,,,,,,,secondary,,,,SMD_single_FR1.0_SD130_MA142_G0.9
bison_sp_100_solid_plank,floor,precast,solid_plank,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,100 SOLID solid_plank
bison_sp_150,floor,precast,solid_plank,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,150
bison_sp_150_sound_slab,floor,precast,solid_plank,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,150 SOUND SLAB
bison_sp_200,floor,precast,solid_plank,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,200
bison_sp_250,floor,precast,solid_plank,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,250
bison_sp_260,floor,precast,solid_plank,one-way,bison,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,260
lynx_hc_L100,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L100
lynx_hc_L150,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L150
lynx_hc_L150E,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L150E
lynx_hc_L200,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L200
lynx_hc_L250,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L250
lynx_hc_L300,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L300
lynx_hc_l100_t50,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L100 + 50mm screed
lynx_hc_l100_t75,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L100 + 75mm screed
lynx_hc_l100_t100,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L100 + 100mm screed
lynx_hc_l150_t50,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L150 + 50mm screed
lynx_hc_l150_t75,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L150 + 75mm screed
lynx_hc_l150_t100,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L150 + 100mm screed
lynx_hc_l150e_t50,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L150E + 50mm screed
lynx_hc_l150e_t75,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L150E + 75mm screed
lynx_hc_l150e_t100,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L150E + 100mm screed
lynx_hc_l200_t50,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L200 + 50mm screed
lynx_hc_l200_t75,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L200 + 75mm screed
lynx_hc_l200_t100,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L200 + 100mm screed
lynx_hc_l250_t50,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L250 + 50mm screed
lynx_hc_l250_t75,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L250 + 75mm screed
lynx_hc_l250_t100,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L250 + 100mm screed
lynx_hc_l300_t50,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L300 + 50mm screed
lynx_hc_l300_t75,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L300 + 75mm screed
lynx_hc_l300_t100,floor,precast,hollowcore,one-way,lynx,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,L300 + 100mm screed
flood_hc_150_t0,floor,precast,hollowcore,one-way,flood,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,FLOOD_HC150_T0
flood_hc_200_t0,floor,precast,hollowcore,one-way,flood,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,FLOOD_HC200_T0
flood_hc_250_t0,floor,precast,hollowcore,one-way,flood,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,FLOOD_HC250_T0
flood_hc_300_t0,floor,precast,hollowcore,one-way,flood,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,FLOOD_HC300_T0
flood_hc_400_t0,floor,precast,hollowcore,one-way,flood,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,FLOOD_HC400_T0
flood_hc_150_t75,floor,precast,hollowcore,one-way,flood,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,FLOOD_HC150_T75
flood_hc_200_t75,floor,precast,hollowcore,one-way,flood,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,FLOOD_HC200_T75
flood_hc_250_t75,floor,precast,hollowcore,one-way,flood,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,FLOOD_HC250_T75
flood_hc_300_t75,floor,precast,hollowcore,one-way,flood,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,FLOOD_HC300_T75
flood_hc_400_t75,floor,precast,hollowcore,one-way,flood,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,FLOOD_HC400_T75
Vulcraft_2VLI36_NW145pcf,floor,composite,composite_deck,one-way,Vulcraft,composite,,,imperial,concrete,screed,,rebar,us_steel_22,,,,,,,,,,secondary,,,,Vulcraft_2VLI36_NW145pcf_D4.0in_G22
Vulcraft_2VLI36_LW110pcf,floor,composite,composite_deck,one-way,Vulcraft,composite,,,imperial,concrete,screed,,rebar,us_steel_22,,,,,,,,,,secondary,,,,Vulcraft_2VLI36_LW110pcf_D4.0in_G22
ComFlor80_normal_weight,floor,composite,composite_deck,one-way,Tata,composite,,,metric,concrete,screed,,rebar,eu_steel_0.9,,,,,,,,,,secondary,,,,ComFlor80_single_unpropped_FR1.0_SD140_MA142_G0.9
ComFlor210_normal_weight,floor,composite,composite_deck,one-way,Tata,composite,,,metric,concrete,screed,,rebar,eu_steel_1.25,,,,,,,,,,secondary,,,,ComFlor210_single_unpropped_FR1.0_SD280_MA142_B16
ComFlor100_normal_weight,floor,composite,composite_deck,one-way,Tata,composite,,,metric,concrete,screed,,rebar,eu_steel_0.9,,,,,,,,,,secondary,,,,ComFlor100_single_or_continuous_propped_FR1.0_SD170_MA142_G0.9
Wells_DT2010,floor,precast,double_tee,one-way,Wells,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,Wells_DT2010_office
Wells_DT2410,floor,precast,double_tee,one-way,Wells,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,Wells_DT2410_office
Wells_DT2612,floor,precast,double_tee,one-way,Wells,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,Wells_DT2612_office
Wells_DT2812,floor,precast,double_tee,one-way,Wells,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,Wells_DT2812_office
Wells_DT3016,floor,precast,double_tee,one-way,Wells,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,Wells_DT3016_office
Wells_DT3210,floor,precast,double_tee,one-way,Wells,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,Wells_DT3210_office
Wells_DT4208,floor,precast,double_tee,one-way,Wells,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,Wells_DT4208_office
TiltUp_DT205,floor,precast,double_tee,one-way,TiltUp,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,TiltUp_DT205_75screed
TiltUp_DT255,floor,precast,double_tee,one-way,TiltUp,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,TiltUp_DT255_75screed
TiltUp_DT305,floor,precast,double_tee,one-way,TiltUp,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,TiltUp_DT305_75screed
TiltUp_DT355,floor,precast,double_tee,one-way,TiltUp,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,TiltUp_DT355_75screed
TiltUp_DT405,floor,precast,double_tee,one-way,TiltUp,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,TiltUp_DT405_75screed
TiltUp_DT455,floor,precast,double_tee,one-way,TiltUp,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,TiltUp_DT455_75screed
TiltUp_DT505,floor,precast,double_tee,one-way,TiltUp,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,TiltUp_DT505_75screed
TiltUp_DT555,floor,precast,double_tee,one-way,TiltUp,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,TiltUp_DT555_75screed
TiltUp_DT605,floor,precast,double_tee,one-way,TiltUp,precast,,,metric,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,TiltUp_DT605_75screed
DuraStress_8DT10_no_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT10_no_top_A
DuraStress_8DT10_2in_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT10_2in_top_A
DuraStress_8DT14_no_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT14_no_top_A
DuraStress_8DT14_2in_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT14_2in_top_A
DuraStress_8DT16_no_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT16_no_top_A
DuraStress_8DT16_2in_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT16_2in_top_A
DuraStress_8DT18_no_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT18_no_top_8DT18-A
DuraStress_8DT18_2in_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT18_2in_top_8DT18T-A
DuraStress_8DT24_no_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT24_no_top_8DT24-A
DuraStress_8DT24_2in_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT24_2in_top_8DT24T-A
DuraStress_8DT32_no_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT32_no_top_8DT32-A
DuraStress_8DT32_2in_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT32_2in_top_8DT32T-A
DuraStress_8DT34_pretop,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_8DT34_pretop_8DT34P-A
DuraStress_12DT24_no_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_12DT24_no_top_12DT24-A
DuraStress_12DT24_2in_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_12DT24_2in_top_12DT24T-A
DuraStress_12DT26_no_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_12DT26_no_top_12DT26-A
DuraStress_12DT28_no_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_12DT28_no_top_12DT28-A
DuraStress_12DT30_pretop,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_12DT30_pretop_12DT30P-A
DuraStress_12DT28_2in_top,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_12DT28_2in_top_12DT28T-A
DuraStress_12DT28_pretop,floor,precast,double_tee,one-way,Dura-Stress,precast,,,imperial,concrete,screed,pt,rebar,,,,,,,,,,,secondary,,,,DuraStress_12DT28_pretop_12DT28P-A
klh_floor_5s_100mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 5s 100 TL floor wet high vib CatA G2=1.5
klh_floor_5s_110mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 5s 110 TL floor wet high vib CatA G2=1.5
klh_floor_5s_120mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 5s 120 TL floor wet high vib CatA G2=1.5
klh_floor_5s_140mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 5s 140 TL floor wet high vib CatA G2=1.5
klh_floor_5s_160mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 5s 160 TL floor wet high vib CatA G2=1.5
klh_floor_5s_200mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 5s 200 TL floor wet high vib CatA G2=1.5
klh_floor_7ss_220mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 7ss 220 TL floor wet high vib CatA G2=1.5
klh_floor_7ss_260mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 7ss 260 TL floor wet high vib CatA G2=1.5
klh_floor_7ss_280mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 7ss 280 TL floor wet high vib CatA G2=1.5
klh_floor_5s_180mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 5s 180 TL floor wet high vib CatA G2=2.0
klh_floor_7ss_240mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 7ss 240 TL floor wet high vib CatA G2=2.0
klh_floor_5s_130mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 5s 130 TL floor wet high vib CatA G2=2.5
klh_floor_5s_190mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 5s 190 TL floor wet high vib CatA G2=2.5
klh_floor_5s_170mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH 5s 170 TL floor wet high vib CatA G2=3.0
kerto_qpanel_floor_78mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_84mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_90mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_96mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_102mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_108mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_114mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_120mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_126mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_132mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_138mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
kerto_qpanel_floor_144mm,floor,timber,lvl_panel,one-way,Metsa,timber,,,metric,,screed,,,,kerto_lvl,,,,,,,,,secondary,,,,Kerto Q-panel floor slab
klh_floor_5s_150mm_tl,floor,timber,clt_floor,one-way,KLH,timber,,,metric,,screed,,,,klh_clt,,,,,,,,,secondary,,,,KLH floor wet high vib CatC G2=1.5 Nk=4.0 5s150TL
comflor60_normal_weight,floor,composite,composite_deck,one-way,ComFlor,composite,,,metric,concrete,screed,,rebar,eu_steel_0.9,,,,,,,,,,secondary,,,,ComFlor60 single_continuous FR60 SD120 A142 G0.9
fpmccann_hc_150,floor,precast,hollowcore,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,1200x150 Hollowcore
fpmccann_hc_150h,floor,precast,hollowcore,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,1200x150H Hollowcore
fpmccann_hc_200,floor,precast,hollowcore,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,1200x200 Hollowcore
fpmccann_hc_250,floor,precast,hollowcore,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,1200x250 Hollowcore
fpmccann_hc_260,floor,precast,hollowcore,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,1200x260 Hollowcore
fpmccann_hc_300,floor,precast,hollowcore,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,1200x300 Hollowcore
fpmccann_hc_350,floor,precast,hollowcore,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,1200x350 Hollowcore
fpmccann_hc_400,floor,precast,hollowcore,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,1200x400 Hollowcore
fpmccann_hc_450,floor,precast,hollowcore,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,1200x450 Hollowcore
fpmccann_hc_500,floor,precast,hollowcore,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,1200x500 Hollowcore
fpmccann_solid_plank_75_75_n,floor,precast,solid_plank,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,solid composite solid_plank 75+75 unpropped
fpmccann_solid_plank_75_100_n,floor,precast,solid_plank,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,solid composite solid_plank 75+100 unpropped
fpmccann_solid_plank_100_50_n,floor,precast,solid_plank,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,solid composite solid_plank 100+50 unpropped
fpmccann_solid_plank_100_100_n,floor,precast,solid_plank,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,solid composite solid_plank 100+100 unpropped
fpmccann_solid_plank_75_75_y,floor,precast,solid_plank,one-way,FP McCann,precast,,,metric,pc_fpmccann,screed,pt,rebar,,,,,,,,,,,secondary,,,heuristic,solid composite solid_plank 75+75 propped
